Year,DOY,NGDIV,EVI,LSWI2
2003,15,0.307235433,0.126006289,0.085792663
2003,63,0.35532542,0.164283131,0.09528302
2003,95,0.461013292,0.253654974,0.216279628
2003,143,0.5580302,0.336523695,0.425590155
2003,159,0.623678028,0.418084562,0.532505344
2003,175,0.638062734,0.40352255,0.538251478
2003,191,0.661159339,0.44312621,0.594023068
2003,207,0.681046116,0.478906426,0.637457479
2003,223,0.688692753,0.479742178,0.634413615
2003,239,0.71360338,0.486563152,0.622715454
2003,255,0.676536324,0.439308607,0.586488247
2003,287,0.64579012,0.409728053,0.537214689
2004,66,0.352688669,0.173524142,0.076310627
2004,82,0.393361177,0.203833973,0.135644403
2004,98,0.474798564,0.275747339,0.22412475
2004,114,0.544460221,0.305118303,0.315050989
2004,130,0.614759905,0.370768646,0.455005524
2004,146,0.628439302,0.419956579,0.531205609
2004,162,0.681017182,0.464475021,0.576140459
2004,178,0.684284894,0.473444347,0.603470539
2004,194,0.686493181,0.479913844,0.601161701
2004,210,0.670168585,0.473548536,0.598094585
2004,226,0.688890208,0.482338486,0.612533633
2004,242,0.680696535,0.471500703,0.598518689
2004,258,0.649879275,0.447571025,0.560307273
2004,290,0.52040473,0.378603336,0.526349713
2004,306,0.583745378,0.321497282,0.420167289
2004,338,0.414771016,0.198500819,0.186609923
2005,36,0.346987799,0.191471917,0.147625184
2005,84,0.515080541,0.284379373,0.250674572
2005,100,0.561099938,0.334385169,0.322508042
2005,132,0.631363383,0.382966182,0.457191707
2005,164,0.625152783,0.398105472,0.500462114
2005,180,0.642804496,0.408687631,0.517191577
2005,196,0.619506116,0.406471472,0.516133934
2005,212,0.65498362,0.436771091,0.554925007
2005,228,0.637040225,0.448556179,0.57710132
2005,244,0.656586355,0.439467063,0.571180904
2005,260,0.634884214,0.414609374,0.549311897
2005,276,0.626435589,0.381601338,0.499301065
2005,324,0.455088441,0.247800762,0.309476948
2006,23,0.293414955,0.12610043,-0.030121414
2006,39,0.362283336,0.169039227,0.052639251
2006,55,0.364942627,0.189317606,0.08816788
2006,103,0.482819608,0.257435301,0.242115611
2006,119,0.510860117,0.318302048,0.325646746
2006,135,0.595413619,0.377563182,0.410556834
2006,151,0.619838778,0.376687447,0.453516006
2006,167,0.670106755,0.421817684,0.515900539
2006,183,0.685384543,0.457819403,0.582719069
2006,199,0.678009173,0.460527122,0.583280941
2006,215,0.684788919,0.473343543,0.624917124
2006,231,0.671913028,0.458653517,0.585655886
2006,247,0.673206072,0.457479291,0.602309396
2006,263,0.640097453,0.408296648,0.515883389
2006,279,0.615831093,0.389318716,0.558580415
2006,295,0.602585483,0.348762978,0.477957893
2006,311,0.509499867,0.248679422,0.332971958
2006,327,0.511134741,0.219276182,0.208073145
2007,74,0.431821422,0.217895516,0.106811759
2007,90,0.484889429,0.256768971,0.193133874
2007,106,0.52458042,0.288622882,0.2650485
2007,170,0.623266126,0.413069478,0.526193189
2007,186,0.665759042,0.442677276,0.541528344
2007,202,0.669150013,0.439517381,0.574441596
2007,234,0.68144904,0.450823673,0.597576872
2007,250,0.605435589,0.457172889,0.593883195
2008,45,0.332383594,0.140985503,-0.015007954
2008,77,0.398499397,0.190471785,0.077090624
2008,109,0.468466869,0.255907746,0.216031301
2008,125,0.462254093,0.25674631,0.236684705
2008,157,0.596441387,0.349163932,0.413150054
2008,173,0.617385165,0.371708634,0.448949861
2008,189,0.604553298,0.45907489,0.565472324
2008,205,0.667463137,0.45921292,0.604813894
2008,221,0.683077318,0.44714786,0.627921176
2008,237,0.708291281,0.459162465,0.622465265
2008,253,0.638733221,0.425885342,0.603752526
2008,269,0.681407752,0.405781358,0.563883272
2008,285,0.630480375,0.360497488,0.512594026
2009,15,0.203093842,0.136556583,0.021431826
2009,31,0.310082905,0.127871117,-0.020624263
2009,79,0.427464993,0.212824785,0.133760613
2009,95,0.482577412,0.259463251,0.191538494
2009,127,0.53102473,0.277931008,0.254275379
2009,143,0.488594382,0.276242741,0.310858622
2009,159,0.584405698,0.346888381,0.377820206
2009,175,0.574949725,0.33587104,0.403567363
2009,191,0.577693318,0.342616017,0.400555596
2009,207,0.613954635,0.370374196,0.483777335
2009,223,0.623637952,0.380585901,0.48375399
2009,239,0.604055985,0.330567723,0.443692321
2009,303,0.556968546,0.309589754,0.364883367
2009,319,0.527952285,0.266190066,0.281728186
2009,335,0.418322952,0.2104129,0.225673713
2010,66,0.378471038,0.186570321,0.094504094
2010,82,0.461031744,0.258133838,0.173845498
2010,98,0.448171324,0.244652112,0.195601694
2010,114,0.524721543,0.293951875,0.265814715
2010,162,0.477767594,0.265534129,0.202737819
2010,178,0.525114486,0.295820028,0.262253884
2010,194,0.553135045,0.3311036,0.364111056
2010,210,0.589700403,0.349031898,0.411132473
2010,226,0.579976963,0.345901701,0.440906641
2010,242,0.634596797,0.374284417,0.456810465
2010,274,0.595124073,0.333094223,0.439355012
2010,322,0.476599048,0.237067658,0.251639898
2011,21,0.321932509,0.137410163,0.067635507
2011,133,0.466101992,0.252211809,0.179837166
2011,149,0.514693167,0.289947419,0.253296222
2011,165,0.56273448,0.323885026,0.293779166
2011,181,0.58334082,0.327113509,0.374701286
2011,197,0.607313421,0.367207363,0.441588056
2011,213,0.619761355,0.376050111,0.483370273
2011,229,0.661146911,0.388903207,0.49600704
2011,245,0.62758881,0.355995116,0.474464746
2011,261,0.613907722,0.342771982,0.4347331
2011,293,0.571235777,0.300793283,0.41300548
2012,16,0.285211629,0.138404829,0.029869867
2012,48,0.285197505,0.144872224,-0.013215625
2012,64,0.334759106,0.169063158,0.057632435
2012,96,0.385371869,0.201579793,0.054515707
2012,112,0.448631027,0.247378239,0.155037029
2012,128,,,
2012,144,0.528690902,0.310236916,0.257098694
2012,160,0.568740238,0.33957869,0.332123784
2012,176,0.566150201,0.345253071,0.368615593
2012,192,0.584950234,0.368144526,0.393428632
2012,208,0.636989345,0.42030218,0.501830563
2012,224,0.662923692,0.427366888,0.52156477
2012,240,0.651536549,0.428307221,0.523512107
2012,256,0.634205008,0.410055949,0.522534434
2012,272,0.591581943,0.393848191,0.504420949
2012,288,0.582094188,0.360750317,0.461028823
2012,304,0.571928158,0.322874802,0.392887817
2013,2,0.389609999,0.180594265,0.086838006
2013,106,0.468204668,0.262588211,0.143935529
2013,154,0.564845807,0.331074693,0.323351252
2013,170,0.603872133,0.365117622,0.381788911
2013,202,0.653119218,0.385322105,0.437106266
2013,234,0.676694579,0.403148965,0.481267106
2013,250,0.684963115,0.391223437,0.483805107
2013,266,0.705591169,0.410553466,0.52825385
2013,282,0.604434885,0.344329541,0.41008477
2013,298,0.615582927,0.328911587,0.408182471
2013,346,0.469015534,0.23088653,0.279308952
2013,362,0.391430234,0.193876744,0.181648465
2014,13,0.366013893,0.178949579,0.134002492
2014,77,0.346474688,0.148878696,0.025452732
2014,109,0.40214222,0.235483067,0.223108207
2014,125,0.508221776,0.255066551,0.246711976
2014,141,0.533491266,0.292894617,0.339354074
2014,157,0.552341845,0.312623819,0.385159086
2014,173,0.582586498,0.336118963,0.435379014
2014,205,0.612828899,0.369666679,0.487314982
2014,221,0.656077578,0.406568136,0.533066956
2014,237,0.67731529,0.415085718,0.551702527
2014,253,0.655586621,0.386036203,0.523953487
2014,285,0.649587439,0.356658402,0.475450795
2014,301,0.638920889,0.317693047,0.4436832
2014,365,0.409310078,0.167227331,0.047558311
2015,64,0.334429582,0.14648575,-0.003723481
2015,80,0.417432775,0.202271266,0.100695731
2015,112,0.517379218,0.281084131,0.243473494
2015,128,0.555937047,0.315035622,0.299372116
2015,144,0.597409593,0.354694083,0.374439663
2015,176,0.678891598,0.411493606,0.509893764
2015,192,0.710772777,0.454812416,0.587346627
2015,208,0.720340731,0.455826468,0.594098583
2015,224,0.736204164,0.482863422,0.634025147
2015,304,0.685964064,0.374278619,0.527508905
2015,320,0.659969821,0.336735046,0.480783402
2015,352,0.39726081,0.20407779,0.204119436
